03-Aug-2026 15:28:58 | INFO    | Your Klayout version is: KLayout 0.30.9
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphcont_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : siwg_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : siwg_filler has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : siwg_nofill has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : sigrating_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : singrating_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphpas_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : emwind3_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : emwihv3_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : redbulay_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : smos_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphpad_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : polimide_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : polimide_pin has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_pin has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_esd has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_diode has 1 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_tsv has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_iprobe has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_diffprb has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_pillar has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_sbump has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_otp has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_pdiode has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_mom has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : recog_pcm has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : colopen_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphmetal1_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphmetal1_filler has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphmetal1_nofill has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphmetal1_slit has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphmetal1_OPC has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphmet1l_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphmet1l_filler has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphmet1l_nofill has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphmet1l_slit has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : graphmet1l_OPC has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : extblock_drw has 1 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : nldd_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : pldd_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : next_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : pext_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : nexthv_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : pexthv_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : graphgate_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : sinwg_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : sinwg_filler has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : sinwg_nofill has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : mempad_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topvia1_drw has 2315 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_drw has 8 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_filler has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_slit has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1 has 8 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_pin has 8 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_mask has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_nofill has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_text has 8 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_noqrc has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_res has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_iprobe has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal1_diffprb has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : inldpwl_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : polyres_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : polyres_pin has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : vmim_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : nbulaycut_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : antmetal1_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topvia2_drw has 443 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_drw has 11 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_filler has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_slit has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2 has 11 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_pin has 12 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_mask has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_nofill has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_text has 12 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_noqrc has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_res has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_iprobe has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : topmetal2_diffprb has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : snsring_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : sensor_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : snsarms_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : snscmosvia_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : colwind_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : flm_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : hafniumox_drw has 0 polygons
2026-08-03 15:29:17 +0200: Memory Usage (465232K) : memvia_drw has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : thinfilmres_drw has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : rfmem_drw has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_drw has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m2m3 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m2m4 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m2m5 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m2tm1 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m2tm2 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m3m4 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m3m5 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m3tm1 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m3tm2 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m4m5 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m4tm1 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m4tm2 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m5tm1 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m5tm2 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_tm1tm2 has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m1sub has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m2sub has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m3sub has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m4sub has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_m5sub has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_tm1sub has 0 polygons
2026-08-03 15:29:18 +0200: Memory Usage (465232K) : norcx_tm2sub has 0 polygons
ERROR: In /foss/pdks/ihp-sg13cmos5l/libs.tech/klayout/tech/lvs/sg13cmos5l.lvs: CMOS5L forbidden layers detected: Via4 (66/0): 2371 polygons; Metal5 (67/0): 8 polygons; TopVia2 (133/0): 443 polygons; TopMetal2 (134/0): 11 polygons
